field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
13,Amount applied for,Amount applied for: NA/NP flag,amount_applied_for_flag,Single response,0;88;99,Code 0 - Applicable and reported; Code 88 - Applicable but not provided by applicant and otherwise undetermined; Code 99 - Not applicable,Required for all application records,Indicate whether 'amount applied for' is provided by entering one of the specified codes.,12 CFR 1002.107(a)(7),,"Must equal 0, 88 or 99"
14,Amount applied for,Amount applied for,amount_applied_for,Numeric,,,Conditionally required if 'amount applied for: NA/NP flag' is code 0. Leave blank if code 0 is not entered.,"Enter one of the following:<ul><li>The dollar amount for initial amount of credit/credit limit requested by applicant at the application stage or later</li><li>If application is in response to a firm offer that specifies an amount or limit, the dollar amount of the firm offer, unless the applicant requested a different amount</li><li>If application is in response to a firm offer that does not specify an amount or limit and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If application is in response to a firm offer that specifies an amount or limit as a range and the applicant did not request a specific amount, the dollar amount underwritten</li><li>If applicant did not request a particular amount but the financial institution underwrites for a specific amount, the dollar amount underwritten</li><li>If applicant requested a range of dollar amounts, the midpoint of that range</li><li>If application is a request for additional amounts on an existing account, the dollar amount of additional credit requested</li></ul>",12 CFR 1002.107(a)(7),"For $12,345, enter 12345","When present, must be a numeric value; When present, must be greater than 0"
15,Amount approved or originated,Amount approved or originated,amount_approved,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"Enter one of the following:<ul><li>For a closed-end origination, the amount of the originated loan</li><li>For a closed-end application, the highest amount approved if the application was approved but not accepted</li><li>For an open-end origination, the amount of the credit limit established</li><li>For an open-end application, the highest amount approved if the application was approved but not accepted</li><li>For additional credit amounts that were approved for or originated on an existing account, report the additional credit amount approved or originated, and not any previous amount extended</li><li>Leave blank if amount approved or originated is not applicable because an application is denied, withdrawn, or incomplete</li></ul>",12 CFR 1002.107(a)(8),"For $101.23, enter 101.23","When present, must be a numeric value; When present, must be greater than 0"
16,Action taken,Action taken,action_taken,Single response,1;2;3;4;5,Code 1 - Originated; Code 2 - Approved but not accepted; Code 3 - Denied; Code 4 - Withdrawn by the applicant; Code 5 - Incomplete,Required for all application records,Indicate what action is taken by entering one of the specified codes.,12 CFR 1002.107(a)(9),,"Must equal 1, 2, 3, 4, or 5"
17,Action taken date,Action taken date,action_taken_date,Date,,,Required for all application records,"Enter, in numeral form, the date the action was taken as a year, month, and day (YYYYMMDD).",12 CFR 1002.107(a)(10),"For July 22, 2024, enter 20240722","Must be a real calendar date using YYYYMMDD format; The date indicated must occur within the current filing period: July 1, 2024 to December 31, 2024"
18,Denial reasons,Denial reason(s),denial_reasons,Multiple response,1;2;3;4;6;7;8;9;77;99,Code 1 - Credit characteristics of the business; Code 2 - Credit characteristics of the principal owner(s) or guarantor(s); Code 3 - Use of credit proceeds; Code 4 - Cashflow; Code 6 - Time in business; Code 7 - Government loan program criteria ; Code 8 - Aggregate exposure; Code 9 - Unverifiable information; Code 77 - Other (specify in the associated free form text field); Code 99 - Not Applicable,Required for all application records,"For a denied application, indicate the principal reason(s) for denial by entering up to four of the specified codes. If there is more than one principal reason for denial, enter each, in any order, separated by a semicolons.",12 CFR 1002.107(a)(11),"If Cashflow, enter 4; If Cashflow, Collateral, Time in business, and Government loan program criteria, enter 4;5;6;7 or 7;5;6;4 etc.","Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 77, or 99; Must contain at least one and at most four values, separated by semicolons; When code 99 is reported, should not contain any other values; Should not contain duplicated values"
19,Denial reasons,Free form text field for other denial reason(s),denial_reasons_ff,Text (width up to 300 characters),,,Conditionally required if 'denial reason(s)' contains code 77. Leave blank if code 77 is not entered.,"Specify in text the other denial reason(s) if code 77 is entered. If there is more than one other denial reason entered, separate each one by a semicolon.",12 CFR 1002.107(a)(11),,Must not exceed 300 characters in length
20,Pricing information,Fixed rate: interest rate: NA flag,pricing_fixed_int_flag,Single response,0;99,Code 0 - Applicable; Code 99 - Not Applicable,Required for all application records,Indicate whether 'fixed rate: interest rate' is applicable by entering one of specified codes.,12 CFR 1002.107(a)(12)(i)(A),,Must equal 0 or 99
21,Pricing information,Fixed rate: interest rate,pricing_fixed_int,Numeric,,,Conditionally required if 'fixed rate: interest rate: NA flag' is code 0. Leave blank if code 0 is not entered.,"For originated credit and credit that is approved but not accepted, if a fixed rate transaction, enter, as a percentage, to at least three (3) decimal places, the interest rate. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(A),"If 4.125%, enter 4.125; If 4.500%, enter 4.5, 4.50, or 4.500","When present, must be a numeric value; When present, should generally be greater than 0.1"
22,Pricing information,Variable rate transaction: margin: NA flag,pricing_var_margin_flag,Single response,0;99,Code 0 - Applicable; Code 99 - Not Applicable,Required for all application records,Indicate whether 'variable rate transaction: margin' is applicable by entering one of the specified codes.,12 CFR 1002.107(a)(12)(i)(B),,Must equal 0 or 99
23,Pricing information,Variable rate transaction: margin,pricing_var_margin,Numeric,,,Conditionally required if 'variable rate transaction: margin: NA flag' is code 0. Leave blank if code 0 is not entered.,"For originated credit and credit that is approved but not accepted, if a variable rate transaction, enter, as a percentage, to at least three (3) decimal places, the margin rate. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(B),"If 2.525%, enter 2.525; If 2.500%, enter 2.5, 2.50, or 2.500","When present, must be a numeric value; When present, should generally be greater than 0.1"
24,Pricing information,Variable rate transaction: initial rate period: NA flag,pricing_var_init_rate_period_flag,Single response,0;99,Code 0 - Applicable; Code 99 - Not Applicable,Required for all application records,Indicate whether 'variable rate transaction: initial rate period' is applicable by entering one of specified codes.,12 CFR 1002.107(a)(12)(i)(B),,Must equal 0 or 99
25,Pricing information,Variable rate transaction: initial rate period,pricing_var_init_rate_period,Numeric,,,Conditionally required if 'variable rate transaction: initial rate period: NA flag' is code 0. Leave blank if code 0 is not entered.,"For originated credit and credit that is approved but not accepted, if a variable rate transaction, enter, as a whole number, the length of the initial rate period expressed in months.",12 CFR 1002.107(a)(12)(i)(B),24,"When present, must be a whole number; When present, must be greater than 0"
26,Pricing information,Variable rate transaction: index name,pricing_var_index,Single response,1;2;3;4;5;6;7;8;9;10;77;99,Code 1 - Wall Street Journal Prime; Code 2 - 6-month CD rate; Code 3 - 1-year T-Bill; Code 4 - 3-year T-Bill; Code 5 - 5-year T-Note; Code 6 - 12-month average of 10-year T-Bill; Code 7 - Cost of Funds Index (COFI) - National; Code 8 - Cost of Funds Index (COFI) - 11th District; Code 9 - Constant Maturity Treasury (CMT); Code 10 - Internal Proprietary Index; Code 77 - Other (specify in the associated free form text field); Code 99 - Not Applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, if a variable rate transaction, indicate the index name by entering one of the specified codes.",12 CFR 1002.107(a)(12)(i)(B),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 77 or 99"
27,Pricing information,Variable rate transaction: index name: other,pricing_var_index_ff,Text (width up to 300 characters),,,Conditionally required if 'variable rate transaction: index name' is code 77. Leave blank if code 77 is not entered.,Specify in text the other index name if code 77 is entered.,12 CFR 1002.107(a)(12)(i)(B),,Must not exceed 300 characters in length
28,Pricing information,Variable rate transaction: index value,pricing_var_index_value,Numeric,,,Conditionally required if 'variable rate transaction: index name' is not code 99 and 'variable rate transaction: initial rate period' is code 99.,"For originated credit and credit that is approved but not accepted, if a variable rate transaction, enter, as a percentage, to at least three (3) decimal places, the index value used to set the rate that is or would be applicable to the covered transaction. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(B),"If 1.025%, enter 1.025; If 3.100%, enter 3.1","When present, must be a numeric value"
29,Pricing information,Total origination charges,pricing_origination_charges,Numeric,,,Required for all application records,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total origination charges. Enter 0 if there are no origination charges associated with the application or if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(ii),"If $2,500, enter 2500 or 2500.00; If $2,582.91, enter 2582.91; If $0, enter 0; If -$100, enter -100",Must be a numeric value
30,Pricing information,Amount of total broker fees,pricing_broker_fees,Numeric,,,Required for all application records,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total broker fees. Enter 0 if there are no broker fees associated with the application or if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(iii),"If $1,125, enter 1125 or 1125.00; If $1,125.76, enter 1125.76; If $0, enter 0",Must be a numeric value
31,Pricing information,Initial annual charges,pricing_initial_charges,Numeric,,,Required for all application records,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total non-interest charges scheduled to be imposed over the first annual period. Enter 0 if there are no non-interest charges scheduled to be imposed over the first annual period or if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(iv),"If $1,034, enter 1034 or 1034.00; If $1,034.97, enter 1034.97; If $0, enter 0",Must be a numeric value
32,Pricing information,MCA/sales-based: additional cost for merchant cash advances or other sales-based financing: NA flag,pricing_mca_addcost_flag,Single response,0;99,Code 0 - Applicable; Code 99 - Not Applicable,Required for all application records,Indicate whether 'MCA/sales-based: additional cost for merchant cash advances or other sales-based financing' is applicable by entering one of the specified codes.,12 CFR 1002.107(a)(12)(v),,Must equal 0 or 99
33,Pricing information,MCA/sales-based: additional cost for merchant cash advances or other sales-based financing,pricing_mca_addcost,Numeric,,,Conditionally required if 'MCA/sales-based: additional cost for merchant cash advances or other sales-based financing' is code 0. Leave blank if code 0 is not entered.,"For originated credit and credit that is approved but not accepted, if a merchant cash advance or other sales-based financing transaction, enter, in dollars, the difference between the amount advanced and the amount to be repaid.",12 CFR 1002.107(a)(12)(v),"If $3,500, enter 3500 or 3500.00; If $3,527.14, enter 3527.14; If $0, enter 0","When present, must be a numeric value"
34,Pricing information,Prepayment penalty could be imposed,pricing_prepenalty_allowed,Single response,1;2;99,Code 1 - Yes; Code 2 - No; Code 99 - Not Applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, indicate whether a prepayment penalty could be included under current policies and procedures by entering one of the specified codes.",12 CFR 1002.107(a)(12)(vi)(A),,"Must equal 1, 2 or 99"
35,Pricing information,Prepayment penalty exists,pricing_prepenalty_exists,Single response,1;2;99,Code 1 - Yes; Code 2 - No; Code 99 - Not Applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, indicate whether the terms of the transaction include a prepayment penalty by entering one of the specified codes.",12 CFR 1002.107(a)(12)(vi)(B),,"Must equal 1, 2 or 99"
36,Census tract,Type of address,census_tract_adr_type,Single response,1;2;3;88,Code 1 - Address or location where the loan proceeds will principally be applied; Code 2 - Address or location of borrower's main office or headquarters; Code 3 - Another address or location associated with the applicant; Code 88 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate the type of address or location used to determine the census tract by entering one of the specified codes.,12 CFR 1002.107(a)(13),,"Must equal 1, 2, 3 or 88"
37,Census tract,Tract number,census_tract_number,Special (width 11 characters),,,"Conditionally required if 'type of address' is code 1, 2, or 3. Leave blank if code 88 is entered.","Enter the 11-digit census tract number as defined by the U.S. Census Bureau of the appropriate one of the following:<ul><li>Address where the loan proceeds will principally be applied, if known</li><li>If the proceeds address is not known, location of borrower's main office or headquarters</li><li>If neither of those addresses are known, another address or location associated with the applicant</li></ul>Do not use decimals.",12 CFR 1002.107(a)(13),"06037264000 (a census tract within Los Angeles County, CA)","When present, must be a GEOID with exactly 11 digits; When present, should be a valid census tract GEOID as defined by the U.S. Census Bureau"
38,Gross annual revenue,Gross annual revenue: NP flag,gross_annual_revenue_flag,Single response,0;88,Code 0 - Provided; Code 88 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether 'gross annual revenue' is reported by entering one of specified codes.,12 CFR 1002.107(a)(14),,Must equal 0 or 88
39,Gross annual revenue,Gross annual revenue,gross_annual_revenue,Numeric,,,Conditionally required if 'gross annual revenue: NP flag' is code 0. Leave blank if code 0 is not entered.,"Enter the dollar amount of the applicant's gross annual revenue for its preceding full fiscal year. A financial institution is permitted, but not required, to report the gross annual revenue for the applicant that includes the revenue of affiliates as well. If a business has no gross annual revenue to report (e.g., a startup, a new line of business, and/or a business with a change in structure or ownership), the financial institution would report that the applicant's gross annual revenue in its preceding full fiscal year is 0.",12 CFR 1002.107(a)(14),"If $855,430, enter 855430 or 855430.00; If $855,430.17, enter 855430.17; If $0, enter 0","When present, must be a numeric value"
40,North American Industry Classification System (NAICS) code,North American Industry Classification System (NAICS) code,naics_code,Special (width equal 2 or 3 characters),,,Required for all application records,"Enter a three-digit NAICS code appropriate for the applicant. If a NAICS code is not provided by applicant and otherwise undetermined, enter code 88.",12 CFR 1002.107(a)(15),311 (a business engaged in the Food Processing Sector); 88 (not provided by applicant and otherwise undetermined),"Must be two or three digits in length; When two digits are reported, must equal 88; When three digits are reported, should be a valid NAICS code"
41,Number of workers,Number of workers,number_of_workers,Single response,1;2;3;4;5;6;7;8;9;88,Code 1 - Firms with no workers; Code 2 - Firms with 1 to 4 workers; Code 3 - Firms with 5 to 9 workers; Code 4 - Firms with 10 to 19 workers; Code 5 - Firms with 20 to 49 workers; Code 6 - Firms with 50 to 99 workers; Code 7 - Firms with 100 to 249 workers; Code 8 - Firms with 250 to 499 workers; Code 9 - Firms with 500 workers or more; Code 88 - Not provided by applicant and otherwise undetermined,Required for all application records,"Indicate the range of the number of workers by entering one of the specified codes. Includes full-time, part-time, and seasonal workers as well as contractors working primarily for the applicant but does not include principal owners.",12 CFR 1002.107(a)(16),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 9 or 88"
42,Time in business,Type of response,time_in_business_type,Single response,1;2;3;88,Code 1 - The number of years the applicant has been in business is collected or obtained by the financial institution (specify in the associated numeric entry field the number of whole years); Code 2 - Applicant has been in business less than two years; Code 3 - Applicant has been in business two or more years; Code 88 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether the applicant provided information on 'time in business' by entering one of the specified codes.,12 CFR 1002.107(a)(17),,"Must equal 1, 2, 3, or 88"
43,Time in business,Time in business,time_in_business,Numeric,,,Conditionally required if 'time in business: type of response' is code 1. Leave blank if code 1 is not entered.,"Enter the number of years the applicant has been in business, as collected or obtained by the financial institution, rounding down to the nearest whole number of years.",12 CFR 1002.107(a)(17),12,"When present, must be a whole number; When present, must be greater than or equal to 0"
44,Minority-owned business status,Minority-owned business status,mob_status,Single response,1;2;3;88,Code 1 - Yes; Code 2 - No; Code 3 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Required for all application records,Indicate whether the applicant is a minority-owned business by entering one of the specified codes.,12 CFR 1002.107(a)(18),,"Must equal 1, 2, 3, or 88"
45,Women-owned business status,Women-owned business status,wob_status,Single response,1;2;3;88,Code 1 - Yes; Code 2 - No; Code 3 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Required for all application records,Indicate whether the applicant is a women-owned business by entering one of the specified codes.,12 CFR 1002.107(a)(18),,"Must equal 1, 2, 3, or 88"
46,LGBTQI+-owned business status,LGBTQI+-owned business status,lgbtqiob_status,Single response,1;2;3;88,Code 1 - Yes; Code 2 - No; Code 3 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Required for all application records,Indicate whether the applicant is an LGBTQI+-owned business by entering one of the specified codes. Enter code 88 if number of principal owners is not provided by applicant and otherwise undetermined. ,12 CFR 1002.107(a)(18),,"Must equal 1, 2, 3, or 88"
47,Number of principal owners,Number of principal owners: NP flag,num_principal_owners_flag,Single response,0;88,Code 0 - Reported; Code 88 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether number of principal owners is provided by entering one of the specified codes.,12 CFR 1002.107(a)(20),,Must equal 0 or 88
48,Number of principal owners,Number of principal owners,num_principal_owners,Single response,,,Conditionally required if 'number of principal owners: NP flag' is code 0. Leave blank if code 0 is not entered.,"Enter the number of the applicant's principal owners. If no principal owner has at least 25% ownership of the business, enter 0.",12 CFR 1002.107(a)(20),,"When present, must equal 0, 1, 2, 3, or 4"
49,Demographic information of principal owner 1,Ethnicity of principal owner 1,po_1_ethnicity,Multiple response,1;11;12;13;14;2;3;77;88,Code 1 - Hispanic or Latino; Code 11 - Cuban; Code 12 - Mexican; Code 13 - Puerto Rican; Code 14 - Other Hispanic or Latino Ethnicity ; Code 2 - Not Hispanic or Latino; Code 3 - The applicant responded that they did not wish to provide this information; Code 77 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the ethnicity of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. If the applicant indicates more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Mexican, enter 12; If Mexican and Puerto Rican, enter 12;13 or 13;12; If Mexican and the applicant responded that they did not wish to provide this information, enter 12","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 3, 77, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
50,Demographic information of principal owner 1,Ethnicity of principal owner 1: free form text field for other Hispanic or Latino ethnicity,po_1_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 1' contains code 77. Report not applicable by leaving blank if code 77 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 77 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
51,Demographic information of principal owner 1,Race of principal owner 1,po_1_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;6;71;72;73;74;88,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Guamanian or Chamorro; Code 42 - Native Hawaiian; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 6 - The applicant responded that they did not wish to provide this information; Code 71 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe (specify in the associated free form text field); Code 72 - The applicant responded in the free-form text field for Other Asian race (specify in the associated free form text field); Code 73 - The applicant responded in the free-form text field for Other Black or African race (specify in the associated free form text field); Code 74 - The applicant responded in the free-form text field for Other Pacific Islander race (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the race of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. If the applicant indicates more than one race for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 6, 71, 72, 73, 74, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
52,Demographic information of principal owner 1,Race of principal owner 1: free form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_1_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 71. Report not applicable by leaving blank if code 71 is not entered,"Specify in text the principal owner 1's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
53,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Asian race,po_1_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 72. Report not applicable by leaving blank if code 72 is not entered,"Specify in text the principal owner 1's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
54,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Black or African American race,po_1_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 73. Report not applicable by leaving blank if code 73 is not entered,"Specify in text the principal owner 1's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
55,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Pacific Islander race,po_1_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 74. Report not applicable by leaving blank if code 74 is not entered,"Specify in text the principal owner 1's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
56,Demographic information of principal owner 1,Sex/gender of principal owner 1: NP flag,po_1_gender_flag,Single response,1;2;88,Code 1 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 2 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the sex/gender of the applicant's principal owner 1 by entering, as appropriate, from the specified codes.",12 CFR 1002.107(a)(19),,"When present, must equal 1, 2, or 88"
